Neighbourhood Name,MCI,number_of_crime,Hood_ID,population_density,Unemployment rate,Population,Average age,household_income
Downsview-Roding-CFB,Auto Theft,88.0,26.0,2337.0,7.9,35895.0,40.915656776709845,562794.0
Downsview-Roding-CFB,Break and Enter,52.0,26.0,2337.0,7.9,35895.0,40.915656776709845,562794.0
Downsview-Roding-CFB,Robbery,52.0,26.0,2337.0,7.9,35895.0,40.915656776709845,562794.0
Downsview-Roding-CFB,Theft Over,12.0,26.0,2337.0,7.9,35895.0,40.915656776709845,562794.0
Downsview-Roding-CFB,bicycle theft,16.0,26.0,2337.0,7.9,35895.0,40.915656776709845,562794.0
Downsview-Roding-CFB,homicide,1.0,26.0,2337.0,7.9,35895.0,40.915656776709845,562794.0
Dufferin Grove,Assault,100.0,83.0,8540.0,7.5,11955.0,41.45587620242576,128586.0
Dufferin Grove,Auto Theft,7.0,83.0,8540.0,7.5,11955.0,41.45587620242576,128586.0
Dufferin Grove,Break and Enter,27.0,83.0,8540.0,7.5,11955.0,41.45587620242576,128586.0
Dufferin Grove,Robbery,21.0,83.0,8540.0,7.5,11955.0,41.45587620242576,128586.0
Dufferin Grove,Theft Over,3.0,83.0,8540.0,7.5,11955.0,41.45587620242576,128586.0
Dufferin Grove,bicycle theft,42.0,83.0,8540.0,7.5,11955.0,41.45587620242576,128586.0
Dufferin Grove,homicide,1.0,83.0,8540.0,7.5,11955.0,41.45587620242576,128586.0
East End-Danforth,Assault,168.0,62.0,8038.0,8.2,21700.0,39.4397465437788,304010.0
East End-Danforth,Auto Theft,21.0,62.0,8038.0,8.2,21700.0,39.4397465437788,304010.0
East End-Danforth,Break and Enter,79.0,62.0,8038.0,8.2,21700.0,39.4397465437788,304010.0
East End-Danforth,Robbery,41.0,62.0,8038.0,8.2,21700.0,39.4397465437788,304010.0
East End-Danforth,Theft Over,11.0,62.0,8038.0,8.2,21700.0,39.4397465437788,304010.0
East End-Danforth,bicycle theft,51.0,62.0,8038.0,8.2,21700.0,39.4397465437788,304010.0
Edenbridge-Humber Valley,Assault,29.0,9.0,2840.0,6.1,16205.0,45.03856834310398,441052.0
Edenbridge-Humber Valley,Auto Theft,29.0,9.0,2840.0,6.1,16205.0,45.03856834310398,441052.0
Edenbridge-Humber Valley,Break and Enter,46.0,9.0,2840.0,6.1,16205.0,45.03856834310398,441052.0
Edenbridge-Humber Valley,Robbery,7.0,9.0,2840.0,6.1,16205.0,45.03856834310398,441052.0
Edenbridge-Humber Valley,Theft Over,1.0,9.0,2840.0,6.1,16205.0,45.03856834310398,441052.0
Edenbridge-Humber Valley,bicycle theft,4.0,9.0,2840.0,6.1,16205.0,45.03856834310398,441052.0
Eglinton East,Assault,197.0,138.0,7051.0,10.8,23380.0,39.84035500427716,343031.0
Eglinton East,Auto Theft,22.0,138.0,7051.0,10.8,23380.0,39.84035500427716,343031.0
Eglinton East,Break and Enter,64.0,138.0,7051.0,10.8,23380.0,39.84035500427716,343031.0
Eglinton East,Robbery,40.0,138.0,7051.0,10.8,23380.0,39.84035500427716,343031.0
Eglinton East,Theft Over,6.0,138.0,7051.0,10.8,23380.0,39.84035500427716,343031.0
Eglinton East,bicycle theft,2.0,138.0,7051.0,10.8,23380.0,39.84035500427716,343031.0
Elms-Old Rexdale,Assault,61.0,5.0,3306.0,10.0,9620.0,38.40826403326403,123119.0
Elms-Old Rexdale,Auto Theft,16.0,5.0,3306.0,10.0,9620.0,38.40826403326403,123119.0
Elms-Old Rexdale,Break and Enter,9.0,5.0,3306.0,10.0,9620.0,38.40826403326403,123119.0
Elms-Old Rexdale,Robbery,18.0,5.0,3306.0,10.0,9620.0,38.40826403326403,123119.0
Elms-Old Rexdale,bicycle theft,1.0,5.0,3306.0,10.0,9620.0,38.40826403326403,123119.0
Englemount-Lawrence,Assault,122.0,32.0,6466.0,8.9,23330.0,39.8226532361766,293189.0
Englemount-Lawrence,Auto Theft,23.0,32.0,6466.0,8.9,23330.0,39.8226532361766,293189.0
Englemount-Lawrence,Break and Enter,59.0,32.0,6466.0,8.9,23330.0,39.8226532361766,293189.0
Englemount-Lawrence,Robbery,44.0,32.0,6466.0,8.9,23330.0,39.8226532361766,293189.0
Englemount-Lawrence,Theft Over,8.0,32.0,6466.0,8.9,23330.0,39.8226532361766,293189.0
Englemount-Lawrence,bicycle theft,17.0,32.0,6466.0,8.9,23330.0,39.8226532361766,293189.0
Eringate-Centennial-West Deane,Assault,66.0,11.0,2171.0,7.4,19135.0,43.82336033446564,352269.0
Eringate-Centennial-West Deane,Auto Theft,29.0,11.0,2171.0,7.4,19135.0,43.82336033446564,352269.0
Eringate-Centennial-West Deane,Break and Enter,28.0,11.0,2171.0,7.4,19135.0,43.82336033446564,352269.0
Eringate-Centennial-West Deane,Robbery,18.0,11.0,2171.0,7.4,19135.0,43.82336033446564,352269.0
Eringate-Centennial-West Deane,Theft Over,5.0,11.0,2171.0,7.4,19135.0,43.82336033446564,352269.0
Eringate-Centennial-West Deane,bicycle theft,4.0,11.0,2171.0,7.4,19135.0,43.82336033446564,352269.0
Etobicoke West Mall,Assault,50.0,13.0,6582.0,7.9,12345.0,43.04961522883759,132460.0
Etobicoke West Mall,Auto Theft,15.0,13.0,6582.0,7.9,12345.0,43.04961522883759,132460.0
Etobicoke West Mall,Break and Enter,14.0,13.0,6582.0,7.9,12345.0,43.04961522883759,132460.0
Etobicoke West Mall,Robbery,3.0,13.0,6582.0,7.9,12345.0,43.04961522883759,132460.0
Etobicoke West Mall,bicycle theft,1.0,13.0,6582.0,7.9,12345.0,43.04961522883759,132460.0
Etobicoke West Mall,homicide,1.0,13.0,6582.0,7.9,12345.0,43.04961522883759,132460.0
Flemingdon Park,Assault,153.0,44.0,9026.0,10.6,22230.0,37.7791273054431,261233.0
Flemingdon Park,Auto Theft,4.0,44.0,9026.0,10.6,22230.0,37.7791273054431,261233.0
Flemingdon Park,Break and Enter,14.0,44.0,9026.0,10.6,22230.0,37.7791273054431,261233.0
Flemingdon Park,Robbery,24.0,44.0,9026.0,10.6,22230.0,37.7791273054431,261233.0
Flemingdon Park,Theft Over,3.0,44.0,9026.0,10.6,22230.0,37.7791273054431,261233.0
Flemingdon Park,bicycle theft,4.0,44.0,9026.0,10.6,22230.0,37.7791273054431,261233.0
Forest Hill North,Assault,23.0,102.0,8054.0,7.4,13160.0,41.723974164133736,258469.0
Forest Hill North,Auto Theft,7.0,102.0,8054.0,7.4,13160.0,41.723974164133736,258469.0
Forest Hill North,Break and Enter,18.0,102.0,8054.0,7.4,13160.0,41.723974164133736,258469.0
