Neighbourhood Name,MCI,number_of_crime
Rosedale-Moore Park,Theft Over,7
Rosedale-Moore Park,bicycle theft,46
Rouge,Assault,146
Rouge,Auto Theft,21
Rouge,Break and Enter,75
Rouge,Robbery,31
Rouge,Theft Over,11
Rouge,bicycle theft,13
Runnymede-Bloor West Village,Assault,38
Runnymede-Bloor West Village,Auto Theft,10
Runnymede-Bloor West Village,Break and Enter,22
Runnymede-Bloor West Village,Robbery,21
Runnymede-Bloor West Village,Theft Over,1
Runnymede-Bloor West Village,bicycle theft,18
Rustic,Assault,65
Rustic,Auto Theft,8
Rustic,Break and Enter,17
Rustic,Robbery,7
Rustic,Theft Over,3
Rustic,bicycle theft,3
Scarborough Village,Assault,196
Scarborough Village,Auto Theft,9
Scarborough Village,Break and Enter,34
Scarborough Village,Robbery,22
Scarborough Village,Theft Over,2
Scarborough Village,bicycle theft,2
Scarborough Village,homicide,6
South Parkdale,Assault,230
South Parkdale,Auto Theft,23
South Parkdale,Break and Enter,69
South Parkdale,Robbery,41
South Parkdale,Theft Over,12
South Parkdale,bicycle theft,31
South Parkdale,homicide,1
South Riverdale,Assault,234
South Riverdale,Auto Theft,27
South Riverdale,Break and Enter,147
South Riverdale,Robbery,49
South Riverdale,Theft Over,23
South Riverdale,bicycle theft,128
South Riverdale,homicide,3
St.Andrew-Windfields,Assault,49
St.Andrew-Windfields,Auto Theft,10
St.Andrew-Windfields,Break and Enter,57
St.Andrew-Windfields,Robbery,14
St.Andrew-Windfields,Theft Over,5
St.Andrew-Windfields,bicycle theft,7
Steeles,Assault,43
Steeles,Auto Theft,30
Steeles,Break and Enter,48
Steeles,Robbery,17
Steeles,Theft Over,3
Steeles,bicycle theft,1
Stonegate-Queensway,Assault,76
Stonegate-Queensway,Auto Theft,12
Stonegate-Queensway,Break and Enter,49
Stonegate-Queensway,Robbery,15
Stonegate-Queensway,Theft Over,4
Stonegate-Queensway,bicycle theft,11
Tam O'Shanter-Sullivan,Assault,96
Tam O'Shanter-Sullivan,Auto Theft,22
Tam O'Shanter-Sullivan,Break and Enter,61
Tam O'Shanter-Sullivan,Robbery,24
Tam O'Shanter-Sullivan,Theft Over,10
Tam O'Shanter-Sullivan,bicycle theft,2
Taylor-Massey,Assault,98
Taylor-Massey,Auto Theft,7
